fish,Release,I80_1,Lisbon,Rstr,Base_TD,BCE,BCW,BCE2,BCW2,MAE,MAW
4842,1,1,1,1,1,1,1,1,1,1,1
4843,1,1,1,1,1,1,1,1,1,1,1
4844,1,1,1,1,1,1,1,1,1,1,1
4845,1,1,1,1,1,0,0,0,0,0,0
4847,1,1,1,0,0,0,0,0,0,0,0
4848,1,1,1,1,0,0,0,0,0,0,0
4849,1,1,0,0,0,0,0,0,0,0,0
4850,1,1,0,1,1,1,1,0,0,0,0
4851,1,1,0,0,0,0,0,0,0,0,0
4854,1,1,0,0,0,0,0,0,0,0,0
4855,1,1,1,1,1,0,0,0,0,0,0
4857,1,1,1,1,1,1,1,1,1,0,0
4858,1,1,1,1,1,1,1,1,1,1,1
4859,1,1,1,1,1,0,0,0,0,0,0
4861,1,1,1,1,1,1,1,1,1,1,1
4862,1,1,1,1,1,1,1,1,1,0,0
4863,1,1,0,0,0,0,0,0,0,0,0
4864,1,1,0,0,0,0,0,0,0,0,0
4865,1,1,1,0,0,0,0,0,0,0,0